Nom,Nombre de parties gagnées,Pourcentage de parties gagnées(%),Nombre d'égalités,Pourcentage d'égalités(%),Nombre de parties perdues,Pourcentage de parties perdues(%),Score moyen
RobotDiscret2,221,22.1,44,4.4,735,73.5,22.295
RobotDiscret3,236,23.6,44,4.4,720,72.0,22.525
RobotDiscret4,224,22.400002,40,4.0,736,73.6,22.493
Stacy,589,58.899998,46,4.6,365,36.5,23.611
Richardo,121,12.1,37,3.7,842,84.2,18.364
Sara,125,12.5,21,2.1,854,85.399994,17.563
Alban,101,10.1,26,2.6000001,873,87.3,17.083
RobotDiscret1,243,24.3,30,3.0,727,72.7,22.321
RobotDiscret2,237,23.7,41,4.1,722,72.2,22.381
RobotDiscret3,221,22.1,37,3.7,742,74.2,22.143
RobotDiscret4,228,22.8,39,3.9,733,73.299995,22.554
Stacy,538,53.8,60,6.0,402,40.2,23.233
Richardo,130,13.0,39,3.9,831,83.1,18.931
Sara,146,14.599999,35,3.5,819,81.9,17.932
Alban,109,10.9,24,2.4,867,86.7,17.842
RobotDiscret1,205,20.5,45,4.5,750,75.0,22.325
RobotDiscret2,223,22.300001,51,5.1,726,72.6,22.729
RobotDiscret3,243,24.3,40,4.0,717,71.7,22.462
RobotDiscret4,242,24.2,43,4.3,715,71.5,22.367
Stacy,524,52.399998,45,4.5,431,43.1,23.408
Richardo,168,16.8,26,2.6000001,806,80.6,19.028
Sara,130,13.0,25,2.5,845,84.5,17.687
Alban,118,11.8,29,2.8999999,853,85.299995,17.629
RobotDiscret1,241,24.1,60,6.0,699,69.9,22.643
RobotDiscret2,220,22.0,46,4.6,734,73.4,22.365
RobotDiscret3,209,20.900002,51,5.1,740,74.0,22.397
RobotDiscret4,229,22.9,57,5.7,714,71.4,22.304
Stacy,458,45.8,57,5.7,485,48.5,22.659
Richardo,201,20.1,44,4.4,755,75.5,19.398
Sara,153,15.299999,39,3.9,808,80.8,17.958
Alban,109,10.9,22,2.2,869,86.9,17.915
RobotDiscret1,211,21.1,47,4.7,742,74.2,22.564
